CD_CID,DS_CID
B30,Conjuntivite Viral
B301,Conjuntivite Dev Adenovirus
B308,Outr Conjuntivites Virais
B309,Conjuntivite Viral Ne
B330,Mialgia Epidemica
B34,Doenc p/Virus de Localiz Ne
B342,Infecc p/Coronavirus Ne
B349,Infecc Viral Ne
B35,Dermatofitose
B352,Tinha da Mao
B36,Outr Micoses Superf
B369,Micose Superf Ne
B37,Candidiase
B378,Candidiase de Outr Localiz
B383,Coccidioidomicose Cutanea
B39,Histoplasmose
B390,Histoplasmose Pulmonar Aguda p/H.Capsul
B393,Histoplasmose Disseminada p/H.Capsulatu
B399,Histoplasmose Ne
B40,Blastomicose
B401,Blastomicose Pulmonar Cronica
B41,Paracoccidioidomicose
B417,Paracoccidioidomicose Disseminada
B419,Paracoccidioidomicose Ne
B42,Esporotricose
B420,Esporotricose Pulmonar
B421,Esporotricose Linfocutanea
B427,Esporotricose Disseminada
B429,Esporotricose Ne
B43,Cromomicose e Abscesso Feomicotico
B430,Cromomicose Cutanea
B431,Abscesso Cerebral Feomicotico
B432,Abscesso e Cisto Feomicotico Subcutaneo
B44,Aspergilose
B440,Aspergilose Pulmonar Invasiva
B441,Outr Aspergiloses Pulmonares
B448,Outr Form de Aspergilose
B45,Criptococose
B450,Criptococose Pulmonar
B451,Criptococose Cerebral
B46,Zigomicose
B47,Micetoma
B49,Micose Ne
B50,Malaria p/Plasmodium Falciparum
B55,Leishmaniose
B550,Leishmaniose Visceral
B551,Leishmaniose Cutanea
B552,Leishmaniose Cutaneo-Mucosa
B57,Doenc de Chagas
B570,Form Aguda Doenc de Chagas c/Compr Card
B572,Doenc de Chagas c/Compr Cardiaco
B573,Doenc de Chagas c/Compr Aparelho Digest
B574,Doenc de Chagas c/Compr do Sist Nervoso
B58,Toxoplasmose
B580,Oculopatia p/Toxoplasma
B582,Meningoencefalite p/Toxoplasma
B588,Toxoplasmose c/Compr de Outr Orgaos
B589,Toxoplasmose Ne
B59,Pneumocistose
B65,Esquistossomose
B651,Esquistossomose Dev Schistosoma Mansoni
B659,Esquistossomose Ne
B660,Opistorquiase
B69,Cisticercose
B690,Cisticercose do Sist Nervoso Central
B71,Outr Infestacoes p/Cestoides
B72,Dracontiase
B74,Filariose
B81,Outr Helmintiases Intestinais Ncop
B86,Escabiose
B87,Miiase
B879,Miiase Ne
B881,Tungiase
B90,Sequelas de Tuberc
B902,Sequelas de Tuberc Ossea e das Articula
B909,Sequelas de Tuberc Vias Respirat e Orga
B91,Sequelas de Poliomielite
B92,Sequelas de Hanseniase
B94,Sequelas de Outr Doenc Infecc e Parasit
B941,Sequelas de Encefalite Viral
B948,Sequelas Outr Doenc Infecc e Parasit Es
B949,Sequelas de Doenc Infecc ou Parasit Ne
B95,Estr/Estafilococo Causa Doenc Class Out
B953,S. Pneumoniae Causa Doenc Class Outr Ca
B956,S.Aureus Causa Doenc Class Outr Cap
B972,Coronavirus Como Doenc Class Outr Cap
B974,Virus Sincic Resp Como Doenc Class Outr
B977,Papilomavirus Como Doenc Class Outr Cap
B99,Doenc Infecc Outr e as Ne
C00,Neopl Malig do Labio
C001,Labio Infer Externo
C003,Labio Super Face Interna
C004,Labio Infer Face Interna
C008,Lesao Invasiva do Labio
C01,Neopl Malig da Base da Lingua
C02,Neopl Malig Outr Partes e Ne da Lingua
C020,Face Dorsal da Lingua
C021,Borda da Lingua
C023,Dois Tercos Anteriores da Lingua Parte
C028,Lesao Invasiva da Lingua
C029,Lingua Ne
C03,Neopl Malig da Gengiva
C031,Gengiva Infer
C04,Neopl Malig do Assoalho da Boca
C048,Lesao Invasiva do Assoalho da Boca
C05,Neopl Malig do Palato
C051,Palato Mole
C058,Lesao Invasiva do Palato
C059,Palato Ne
C06,Neopl Malig Outr Partes e Partes Ne Da
C060,Mucosa Oral
C061,Vestibulo da Boca
C062,Area Retromolar
C068,Lesao Invasiva Outr Partes e Partes Ne
C069,Boca Ne
C07,Neopl Malig da Gland Parotida
C08,Neopl Malig Outr Gland Saliv Maiores E
C080,Gland Submandibular
C081,Gland Sublingual
C088,Lesao Invasiva de Gland Salivares Maior
C089,Gland Salivar Maior Ne
C09,Neopl Malig da Amigdala
C091,Pilar Amigdaliano
C098,Lesao Invasiva da Amigdala
C099,Amigdala Ne
C10,Neopl Malig da Orofaringe
C100,Valecula
C101,Face Anterior da Epiglote
C102,Parede Lateral da Orofaringe
C103,Parede Posterior da Orofaringe
C104,Fenda Branquial
C108,Lesao Invasiva da Orofaringe
C109,Orofaringe Ne
C11,Neopl Malig da Nasofaringe
C110,Parede Super da Nasofaringe
C111,Parede Posterior da Nasofaringe
C112,Parede Lateral da Nasofaringe
C118,Lesao Invasiva da Nasofaringe
C119,Nasofaringe Ne
C12,Neopl Malig do Seio Piriforme
C13,Neopl Malig da Hipofaringe
C138,Lesao Invasiva da Hipofaringe
C139,Hipofaringe Ne
C14,Neop Mal Out Loc Mal Def Labio Cav Oral
C140,Faringe Ne
C148,Lesao Invasiva Labio Cavidade Oral e Fa
C15,Neopl Malig do Esofago
C150,Porcao Cervical do Esofago
C151,Porcao Toracica do Esofago
C152,Porcao Abdominal do Esofago
C153,Terco Super do Esofago
C154,Terco Medio do Esofago
C155,Terco Infer do Esofago
C158,Lesao Invasiva do Esofago
C159,Esofago Ne
C16,Neopl Malig do Estomago
C160,Cardia
C161,Fundo do Estomago
C162,Corpo do Estomago
C163,Antro Pilorico
C164,Piloro
C165,Pequena Curvatura do Estomago Ne
C166,Grande Curvatura do Estomago Ne
C168,Lesao Invasiva do Estomago
C169,Estomago Ne
C17,Neopl Malig do Intestino Delgado
C170,Duodeno
C171,Jejuno
C172,Ileo
C178,Lesao Invasiva do Intestino Delgado
C179,Intestino Delgado Ne
C18,Neopl Malig do Colon
C180,Ceco
C181,Apendice
C182,Colon Ascendente
C183,Flexura Hepatica
C184,Colon Transverso
C185,Flexura Esplenica
C186,Colon Descendente
C187,Colon Sigmoide
C188,Lesao Invasiva do Colon
C189,Colon Ne
C19,Neopl Malig da Juncao Retossigmoide
C20,Neopl Malig do Reto
C21,Neopl Malig do Anus e do Canal Anal
C210,Anus Ne
C211,Canal Anal
C218,Lesao Invasiva do Reto Anus e do Canal
C22,Neopl Malig Figado Vias Biliares Intra
C220,Carcinoma de Celulas Hepaticas
C221,Carcinoma de Vias Biliares Intra-Hepati
C224,Outr Sarcomas do Figado
C227,Outr Carcinomas Espec do Figado
C229,Neopl Malig do Figado Ne
C23,Neopl Malig da Vesicula Biliar
C24,Neopl Malig Outr Partes e Ne Vias Bilia
C240,Vias Biliares Extra-Hepaticas
C241,Ampola de Vater
C248,Lesao Invasiva das Vias Biliares
C249,Via Biliar Ne
C25,Neopl Malig do Pancreas
C250,Cabeca do Pancreas
C251,Corpo do Pancreas
C252,Cauda do Pancreas
C254,Pancreas Endocrino
C257,Neopl Malig de Outr Partes do Pancreas
C258,Lesao Invasiva do Pancreas
C259,Pancreas Ne
C26,Neopl Malig Outr Mal Def Aparelho Diges
C260,Trato Intestinal Parte Ne
C268,Lesao Invasiva do Aparelho Digestivo
C269,Localiz Mal Def Dentro Aparelho Digesti
C30,Neopl Malig Cavidade Nasal e do Ouvido
C300,Cavidade Nasal
C301,Ouvido Medio
C31,Neopl Malig dos Seios da Face
C310,Seio Maxilar
C312,Seio Frontal
C319,Seio da Face Ne
C32,Neopl Malig da Laringe
C320,Glote
C321,Regiao Supraglotica
C322,Regiao Subglotica
C323,Cartilagens da Laringe
C328,Lesao Invasiva da Laringe
C329,Laringe Ne
C34,Neopl Malig dos Bronquios e dos Pulmoes
C340,Bronquio Principal
C341,Lobo Super Bronquio ou Pulmao
C342,Lobo Medio Bronquio ou Pulmao
C343,Lobo Infer Bronquio ou Pulmao
C348,Lesao Invasiva dos Bronquios e dos Pulm
C349,Bronquios ou Pulmoes Ne
C37,Neopl Malig do Timo
C38,Neopl Malig do Coracao Mediastino e Ple
C381,Mediastino Anterior
C382,Mediastino Posterior
C383,Mediastino Porcao Ne
C388,Lesao Invasiva Coracao Mediastino e Ple
C39,Neop Mal Out Loc Mal Def Ap Resp Org In
C398,Lesao Invasiva Ap Respirat Org Intrator
C40,Neopl Malig Ossos/Cartilag Artic Membro
C400,Omoplata e Ossos Longos dos Membros Sup
C401,Ossos Curtos dos Membros Super
C402,Ossos Longos dos Membros Infer
C403,Ossos Curtos dos Membros Infer
C408,Lesao Invasiva Ossos/Cartilag Artic Mem
C409,Ossos e Cartilagens Articulares de Memb
C41,Neopl Malig Ossos/Cartil Artic Outr Loc
C410,Ossos do Cranio e da Face
C411,Mandibula
C412,Coluna Vertebral
C413,Costelas Esterno e Clavicula
C414,Ossos da Pelve Sacro e Coccix
C418,Lesao Invasiva Ossos e Cartilag Articul
C419,Ossos e Cartilagens Articulares
C43,Melanoma Malig da Pele
C432,Melanoma Malig Orelha Conduto Auditiv E
C433,Melanoma Malig Outr Partes e Ne da Face
C434,Melanoma Malig Couro Cabeludo e do Pesc
C435,Melanoma Maligno do Tronco
C436,Melanoma Maligno do Membro Super Incl O
C437,Melanoma Maligno Membro Infer Incl Quad
C438,Melanoma Maligno Invasivo da Pele
C439,Melanoma Maligno de Pele Ne
C44,Outr Neopl Malig da Pele
C440,Pele do Labio
C441,Pele da Palpebra Incl O Canto
C442,Pele da Orelha e do Conduto Auditivo Ex
C443,Pele de Outr Partes e de Partes Ne da F
C444,Pele do Couro Cabeludo e do Pescoco
C445,Pele do Tronco
C446,Pele do Membro Super Incl Ombro
C447,Pele do Membro Infer Incl Quadril
C448,Lesao Invasiva da Pele
C449,Neopl Malig da Pele
C45,Mesotelioma
C450,Mesotelioma da Pleura
C451,Mesotelioma do Peritonio
C452,Mesotelioma do Pericardio
C459,Mesotelioma Ne
C46,Sarcoma de Kaposi
C460,Sarcoma de Kaposi da Pele
C467,Sarcoma de Kaposi de Outr Localiz
C47,Neopl Malig Nervos Perif e Sist Nerv Au
C474,Nervos Perifericos do Abdome
C478,Lesao Invasiva Nervos Perif e Sist Nerv
C479,Nervos Perifericos e Sist Nervoso Auton
C48,Neopl Malig Tec Moles Retro- e Peritoni
C480,Retroperitonio
C481,Partes Espec do Peritonio
C482,Peritonio
C488,Lesao Invasiva Tec Moles Retro- e Perit
C49,Neopl Malig Tec Conjuntivo e Outr Tec M
C490,Tec Conjuntivo e Moles Cabeca Face e Pe
C491,Tec Conjuntivo e Moles Membr Sup Incl O
C492,Tec Conjuntivo e Moles Membr Inf Incl Q
C493,Tec Conjuntivo e Tec Moles do Torax
C496,Tec Conjuntivo e Tec Moles do Tronco
C498,Lesao Invasiva Tec Conjuntivo e Tec Mol
C499,Neopl Malig Tec Conjuntivo e Tec Moles
C50,Neopl Malig da Mama
C500,Mamilo e Areola
C501,Porcao Central da Mama
C502,Quadrante Super Interno da Mama
C503,Quadrante Infer Interno da Mama
C504,Quadrante Super Externo da Mama
C505,Quadrante Infer Externo da Mama
C506,Porcao Axilar da Mama
C508,Lesao Invasiva da Mama
C509,Mama Ne
C51,Neopl Malig da Vulva
C519,Vulva Ne
C52,Neopl Malig da Vagina
C53,Neopl Malig do Colo do Utero
C530,Endocervix
C531,Exocervix
C538,Lesao Invasiva do Colo do Utero
C539,Colo do Utero Ne
C54,Neopl Malig do Corpo do Utero
C540,Istmo do Utero
C541,Endometrio
C542,Miometrio
C548,Lesao Invasiva do Corpo do Utero
C549,Corpo do Utero Ne
C55,Neopl Malig do Utero Porcao Ne
C56,Neopl Malig do Ovario
C57,Neopl Malig Outr Org Genitais Femin e N
C574,Anexos Uterinos
C579,Orgao Genital Femin Ne
C58,Neopl Malig da Placenta
C60,Neopl Malig do Penis
C601,Glande
C608,Lesao Invasiva do Penis
C609,Penis Ne
C61,Neopl Malig da Prostata
C62,Neopl Malig dos Testiculos
C620,Testiculo Criptorquidico
C621,Testiculo Topico
C629,Testiculo Soe
C63,Neopl Malig Outr Org Genit Masc e Ne
C638,Lesao Invasiva Orgaos Genitais Masc
C64,Neopl Malig do Rim Exceto Pelve Renal
C65,Neopl Malig da Pelve Renal
C66,Neopl Malig dos Ureteres
C67,Neopl Malig da Bexiga
C670,Trigono da Bexiga
C671,Cupula da Bexiga
C672,Parede Lateral da Bexiga
C673,Parede Anterior da Bexiga
C674,Parede Posterior da Bexiga
C678,Lesao Invasiva da Bexiga
C679,Bexiga Soe
C68,Neopl Malig de Outr Orgaos Urinarios E
C689,Orgao Urinario Ne
C69,Neopl Malig do Olho e Anexos
C690,Conjuntiva
C691,Cornea
C692,Retina
C693,Coroide
C694,Corpo Ciliar
C696,Orbita
C699,Olho Ne
C70,Neopl Malig das Meninges
C700,Meninges Cerebrais
C701,Meninges Espinhais
C71,Neopl Malig do Encefalo
C710,Cerebro Exceto Lobos e Ventriculos
C711,Lobo Frontal
C712,Lobo Temporal
C713,Lobo Parietal
C714,Lobo Occipital
C716,Cerebelo
C717,Tronco Cerebral
C718,Lesao Invasiva do Encefalo
C719,Encefalo Ne
C72,Neop Mal Med Esp Nerv Cran Out Sist Ner
C720,Medula Espinhal
C721,Cauda Equina
C723,Nervo Optico
C728,Lesao Invasiva Encef Out Part Sist Nerv
C729,Sist Nervoso Central Ne
C73,Neopl Malig da Gland Tireoide
C74,Neopl Malig da Gland Supra-Renal
C740,Cortex da Supra-Renal
C741,Medula da Supra-Renal
C749,Gland Supra-Renal Ne
C75,Neopl Malig Outr Gland Endocrinas Estr
C750,Gland Paratireoide
C751,Gland Hipofise
C753,Gland Pineal
C754,Corpo Carotideo
C755,Corpo Aortico e Outr Paraganglios
C759,Gland Endocrina
C76,Neopl Malig Outr Localiz e Mal Definida
C760,Cabeca Face e Pescoco
C761,Torax
C762,Abdome
C763,Pelve
C767,Outr Localiz Mal Definidas
C768,Lesao Invasiva Outr Localiz e Mal Defin
C77,Neopl Malig Secund e Ne Gangl Linfatico
C770,Ganglios Linfaticos da Cabeca Face e Pe
C773,Ganglios Linfaticos Axilares e Membros
C774,Ganglios Linfaticos Inguinais e Membr I
C779,Ganglio Linfatico Ne
C78,Neopl Malig Secund Org Respirat e Diges
C780,Neopl Malig Secund dos Pulmoes
C782,Neopl Malig Secund da Pleura
C783,Neopl Malig Secund Outr Orgaos Respirat
C786,Neopl Malig Secund Retro- e Peritonio
C787,Neopl Malig Secund do Figado
C788,Neopl Malig Secund Outr Org Digestivos
C79,Neopl Malig Secund de Outr Localiz
C790,Neopl Malig Secund do Rim e da Pelve Re
C791,Neopl Malig Secund Bexiga Outr Org Urin
C793,Neopl Malig Secund Encefalo e Mening Ce
C794,Neopl Malig Secund Outr Part Sist Nerv
C795,Neopl Malig Secund Ossos e Medula Ossea
C796,Neopl Malig Secund do Ovario
C797,Neopl Malig Secund das Gland Supra-Rena
C798,Neopl Malig Secund de Outr Localiz Espe
C80,Neopl Malig s/Especificacao de Localiz
C81,Doenc de Hodgkin
C810,Predom Linfocitica
C811,Esclerose Nodular
C812,Celularidade Mista
C813,Deplecao Linfocitica
C817,Outr Form da Doenc de Hodgkin
C819,Doenc de Hodgkin Ne
C82,Linfoma Nao-Hodgkin Folicular
C820,Pequenas Celulas Clivadas Folicular
C821,Misto Peq/Grandes Celulas Clivadas Foli
C822,Grandes Celulas Folicular
C827,Outr Tipos de Linfoma Nao-Hodgkin Folic
C829,Linfoma Nao-Hodgkin Folicular Ne
C83,Linfoma Nao-Hodgkin Difuso
C830,Pequenas Celulas
C831,Pequenas Celulas Clivadas
C832,Misto de Pequenas e Grandes Celulas
C833,Grandes Celulas
C835,Linfoblastico
C837,Tumor de Burkitt
C838,Outr Tipos de Linfoma Nao-Hodgkin Difus
C839,Linfoma Nao-Hodgkin Difuso Ne
C84,Linfomas de Celulas T Cutaneas e Perife
C840,Micose Fungoide
C844,Linfoma de Celulas T Periferico
C845,Outr Linfomas de Celulas T e Os Ne
C85,Linfoma Nao-Hodgkin de Outr Tipos e Tip
C850,Linfossarcoma
C851,Linfoma de Celulas B Ne
C857,Outr Tipos Espec de Linfoma Nao-Hodgkin
C859,Linfoma Nao-Hodgkin de Tipo Ne
C88,Doenc Imunoproliferativas Malignas
C880,Macroglobulinemia de Waldenstrom
C90,Mieloma Mult e Neopl Malig de Plasmocit
C900,Mieloma Mult
C901,Leucemia Plasmocitaria
C902,Plasmocitoma Extramedular
C91,Leucemia Linfoide
C910,Leucemia Linfoblastica Aguda
C911,Leucemia Linfocitica Cronica
C912,Leucemia Linfocitica Subaguda
C914,Leucemia de Celulas Pilosas
C915,Leucemia de Celulas T do Adulto
C917,Outr Leucemias Linfoides
C919,Leucemia Linfoide Ne
C92,Leucemia Mieloide
C920,Leucemia Mieloide Aguda
C921,Leucemia Mieloide Cronica
C923,Sarcoma Mieloide
C924,Leucemia Pro-Mielocitica Aguda
C929,Leucemia Mieloide Ne
C94,Outr Leucemias de Celulas de Tipo Espec
C940,Eritremia e Eritroleucemia Agudas
C945,Mielofibrose Aguda
C947,Outr Leucemias Espec
C95,Leucemia de Tipo Celular Ne
C950,Leucemia Aguda de Tipo Celular Ne
C951,Leucemia Cronica de Tipo Celular Ne
C957,Outr Leucemias de Tipo Celular Ne
C959,Leucemia Ne
C96,Outr Neopl Mal e Ne Tec Linf Hematop E
C961,Histiocitose Maligna
C962,Tumor Maligno de Mastocitos
C967,Outr Neop Mal Espec Tec Linf Hematop E
C969,Neop Mal Tec Linf Hematop e Corr Ne
C97,Neopl Malig de Localiz Mult Independent
D011,Juncao Retossigmoidea
D012,Reto
D015,Figado Vesicula Biliar e Vias Biliares
D022,Bronquios e Pulmoes
D035,Melanoma In Situ do Tronco
D04,Carcinoma In Situ da Pele
D043,Pele de Outr Partes e de Partes Ne da F
D045,Pele do Tronco
D049,Pele Ne
D05,Carcinoma In Situ da Mama
D050,Carcinoma Lobular In Situ
D051,Carcinoma Intraductal In Situ
D059,Carcinoma In Situ da Mama Ne
D06,Carcinoma In Situ do Colo do Utero
D060,Endocervix
D061,Exocervix
D067,Outr Partes do Colo do Utero
D069,Colo do Utero Ne
D07,Carcinoma In Situ Outr Orgaos Genitais
D09,Carcinoma In Situ de Outr Localiz e Das
D10,Neopl Benig da Boca e da Faringe
D106,Nasofaringe
D11,Neopl Benig de Gland Salivares Maiores
D110,Gland Parotida
D117,Outr Gland Salivares Maiores
D119,Gland Salivar Maior Ne
D12,Neopl Benig do Colon Reto Canal Anal E
D123,Colon Transverso
D124,Colon Descendente
D125,Colon Sigmoide
D126,Colon Ne
D127,Juncao Retossigmoide
D128,Reto
D13,Neopl Benig Outr Part e Mal Def Ap Dige
D131,Estomago
D134,Figado
D136,Pancreas
D137,Pancreas Endocrino
D139,Localiz Mal Definidas do Aparelho Diges
D14,Neopl Benig Ouvido Medio e Aparelho Res
D140,Ouvido Medio Cav Nasal e Seios Paranasa
D143,Bronquios e Pulmao
D150,Timo
D151,Coracao
D152,Mediastino
D16,Neopl Benig de Osso e Cartilagem Articu
D161,Ossos Curtos dos Membros Super
D162,Ossos Longos dos Membros Infer
D163,Ossos Curtos dos Membros Infer
D164,Ossos do Cranio e da Face
D165,Osso da Mandibula
D166,Coluna Vertebral
D168,Ossos Pelvicos Sacro e Coccix
D169,Osso e Cartilagem Articular Ne
D17,Neopl Lipomatosa Benig
D170,Neop Lipom Ben Pele Tec Subcut Cab Face
D171,Neopl Lipomatosa Benig Pele Tec Subcut
D172,Neopl Lipomatosa Benig Pele Tec Subcut
D173,Neopl Lip Benig Pele Tec Subc Outr Loc
D175,Neopl Lipomatosa Benig Orgaos Intra-Abd
D177,Neoplasia Lipomatosa Benigna de Outr Lo
D179,Neoplasia Lipomatosa Benigna de Localiz
D18,Hemangioma e Linfangioma de Qualquer Lo
D180,Hemangioma de Qualquer Localiz
D20,Neopl Benig Tec Mole Retro- e Peritonio
D200,Retroperitonio
D21,Outr Neopl Benig Tec Conj e Outr Tec Mo
D211,Tec Conj e Out Tec Moles Membr Sup Incl
D212,Tec Conj e Out Tec Moles Membr Inf Incl
D219,Tec Conjuntivo e Outr Tec Moles s/Outr
D22,Nevos Melanociticos
D227,Nevo Melanocitico Membros Infer Incl Qu
D229,Nevo Melanocitico Ne
D23,Outr Neopl Benig da Pele
